0,	1,	0.000122474,	-0.0001,	1.22474,	
0.01,	0.99995,	0.0123697,	-0.0100996,	1.22468,	
0.02,	0.999799,	0.0246157,	-0.0200966,	1.2245,	
0.03,	0.999549,	0.0368593,	-0.0300887,	1.22419,	
0.04,	0.999198,	0.0490992,	-0.0400732,	1.22376,	
0.05,	0.998748,	0.0613342,	-0.0500477,	1.22321,	
0.06,	0.998198,	0.0735631,	-0.0600098,	1.22254,	
0.07,	0.997549,	0.0857847,	-0.0699569,	1.22175,	
0.08,	0.9968,	0.0979977,	-0.0798866,	1.22083,	
0.09,	0.995952,	0.110201,	-0.0897965,	1.2198,	
0.1,	0.995005,	0.122393,	-0.0996842,	1.21864,	
0.11,	0.99396,	0.134574,	-0.109547,	1.21737,	
0.12,	0.992816,	0.146741,	-0.119383,	1.21598,	
0.13,	0.991573,	0.158893,	-0.12919,	1.21447,	
0.14,	0.990233,	0.17103,	-0.138965,	1.21284,	
0.15,	0.988795,	0.18315,	-0.148706,	1.2111,	
0.16,	0.98726,	0.195251,	-0.158411,	1.20924,	
0.17,	0.985628,	0.207334,	-0.168078,	1.20727,	
0.18,	0.983899,	0.219397,	-0.177704,	1.20518,	
0.19,	0.982075,	0.231438,	-0.187287,	1.20299,	
0.2,	0.980155,	0.243456,	-0.196826,	1.20068,	
0.21,	0.978139,	0.255451,	-0.206317,	1.19826,	
0.22,	0.976029,	0.267421,	-0.21576,	1.19574,	
0.23,	0.973825,	0.279366,	-0.225151,	1.1931,	
0.24,	0.971528,	0.291283,	-0.23449,	1.19036,	
0.25,	0.969137,	0.303173,	-0.243774,	1.18752,	
0.26,	0.966653,	0.315034,	-0.253001,	1.18457,	
0.27,	0.964078,	0.326864,	-0.26217,	1.18153,	
0.28,	0.961411,	0.338664,	-0.271279,	1.17838,	
0.29,	0.958653,	0.350432,	-0.280326,	1.17513,	
0.3,	0.955805,	0.362167,	-0.28931,	1.17179,	
0.31,	0.952868,	0.373868,	-0.298228,	1.16835,	
0.32,	0.949842,	0.385534,	-0.30708,	1.16482,	
0.33,	0.946728,	0.397164,	-0.315863,	1.16119,	
0.34,	0.943526,	0.408758,	-0.324577,	1.15748,	
0.35,	0.940237,	0.420314,	-0.33322,	1.15368,	
0.36,	0.936863,	0.431831,	-0.341791,	1.14979,	
0.37,	0.933403,	0.44331,	-0.350288,	1.14581,	
0.38,	0.929858,	0.454748,	-0.358711,	1.14175,	
0.39,	0.926229,	0.466145,	-0.367058,	1.13761,	
0.4,	0.922518,	0.4775,	-0.375327,	1.13339,	
0.41,	0.918724,	0.488813,	-0.383519,	1.12909,	
0.42,	0.914849,	0.500082,	-0.391631,	1.12472,	
0.43,	0.910892,	0.511307,	-0.399663,	1.12027,	
0.44,	0.906856,	0.522488,	-0.407615,	1.11575,	
0.45,	0.902741,	0.533623,	-0.415484,	1.11116,	
0.46,	0.898548,	0.544711,	-0.423271,	1.10649,	
0.47,	0.894277,	0.555753,	-0.430975,	1.10177,	
0.48,	0.889929,	0.566747,	-0.438595,	1.09697,	
0.49,	0.885506,	0.577692,	-0.44613,	1.09212,	
0.5,	0.881008,	0.588589,	-0.45358,	1.0872,	
0.51,	0.876435,	0.599437,	-0.460945,	1.08222,	
0.52,	0.87179,	0.610234,	-0.468223,	1.07719,	
0.53,	0.867072,	0.620981,	-0.475415,	1.07209,	
0.54,	0.862283,	0.631676,	-0.482519,	1.06695,	
0.55,	0.857423,	0.64232,	-0.489536,	1.06175,	
0.56,	0.852493,	0.652912,	-0.496466,	1.0565,	
0.57,	0.847494,	0.66345,	-0.503308,	1.0512,	
0.58,	0.842428,	0.673936,	-0.510062,	1.04586,	
0.59,	0.837294,	0.684368,	-0.516727,	1.04047,	
0.6,	0.832094,	0.694746,	-0.523304,	1.03504,	
0.61,	0.826829,	0.705069,	-0.529793,	1.02956,	
0.62,	0.821499,	0.715338,	-0.536194,	1.02405,	
0.63,	0.816106,	0.725551,	-0.542506,	1.0185,	
0.64,	0.81065,	0.735708,	-0.548729,	1.01291,	
0.65,	0.805132,	0.745809,	-0.554865,	1.00728,	
0.66,	0.799553,	0.755854,	-0.560912,	1.00162,	
0.67,	0.793915,	0.765842,	-0.566871,	0.995932,	
0.68,	0.788217,	0.775773,	-0.572742,	0.990212,	
0.69,	0.782461,	0.785647,	-0.578526,	0.984463,	
0.7,	0.776647,	0.795463,	-0.584222,	0.978687,	
0.71,	0.770777,	0.805221,	-0.589832,	0.972885,	
0.72,	0.764852,	0.814921,	-0.595354,	0.96706,	
0.73,	0.758871,	0.824563,	-0.60079,	0.961211,	
0.74,	0.752837,	0.834146,	-0.60614,	0.955342,	
0.75,	0.746749,	0.84367,	-0.611405,	0.949452,	
0.76,	0.740609,	0.853135,	-0.616584,	0.943545,	
0.77,	0.734418,	0.862541,	-0.621678,	0.93762,	
0.78,	0.728176,	0.871888,	-0.626688,	0.931679,	
