0,	1,	0.000122474,	-0.0001,	1.22474,	
0.01,	0.999948,	0.0123697,	-0.0100996,	1.22468,	
0.02,	0.999797,	0.0246157,	-0.0200967,	1.2245,	
0.03,	0.999546,	0.0368593,	-0.0300887,	1.22419,	
0.04,	0.999194,	0.0490991,	-0.0400733,	1.22376,	
0.05,	0.998743,	0.0613341,	-0.0500479,	1.22321,	
0.06,	0.998192,	0.0735629,	-0.0600101,	1.22254,	
0.07,	0.997542,	0.0857844,	-0.0699574,	1.22175,	
0.08,	0.996792,	0.0979973,	-0.0798872,	1.22083,	
0.09,	0.995943,	0.110201,	-0.0897973,	1.2198,	
0.1,	0.994995,	0.122393,	-0.0996852,	1.21864,	
0.11,	0.993949,	0.134573,	-0.109548,	1.21737,	
0.12,	0.992804,	0.14674,	-0.119385,	1.21598,	
0.13,	0.99156,	0.158892,	-0.129192,	1.21447,	
0.14,	0.990219,	0.171028,	-0.138967,	1.21284,	
0.15,	0.98878,	0.183148,	-0.148709,	1.2111,	
0.16,	0.987244,	0.19525,	-0.158414,	1.20924,	
0.17,	0.985611,	0.207332,	-0.168081,	1.20727,	
0.18,	0.983881,	0.219395,	-0.177707,	1.20518,	
0.19,	0.982056,	0.231435,	-0.187291,	1.20299,	
0.2,	0.980135,	0.243454,	-0.196829,	1.20068,	
0.21,	0.978118,	0.255448,	-0.206321,	1.19826,	
0.22,	0.976008,	0.267418,	-0.215764,	1.19573,	
0.23,	0.973802,	0.279362,	-0.225156,	1.1931,	
0.24,	0.971504,	0.29128,	-0.234495,	1.19036,	
0.25,	0.969112,	0.303169,	-0.24378,	1.18752,	
0.26,	0.966627,	0.315029,	-0.253008,	1.18457,	
0.27,	0.964051,	0.32686,	-0.262177,	1.18152,	
0.28,	0.961383,	0.338659,	-0.271286,	1.17838,	
0.29,	0.958624,	0.350427,	-0.280334,	1.17513,	
0.3,	0.955776,	0.362161,	-0.289318,	1.17179,	
0.31,	0.952837,	0.373862,	-0.298237,	1.16835,	
0.32,	0.94981,	0.385528,	-0.307089,	1.16482,	
0.33,	0.946695,	0.397157,	-0.315873,	1.16119,	
